StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q12,Q13,Q14,Q15
2021-10-12 10:58:18,2021-10-12 11:00:11,IP Address,100,112,True,2021-10-12 11:00:11,R_32WMMYn3miX8gOH,anonymous,EN,I consent to participate in this survey.,Disagree,Agree,Yes,Agree,Neither agree or disagree,Strongly agree,Neither agree or disagree,Agree,Strongly agree,Junior,College of Natural Resources,Female,White,In state student,Democratic Party
2021-10-12 10:54:00,2021-10-12 11:01:56,IP Address,100,476,True,2021-10-12 11:01:57,R_3KNoblabNs7Pltb,anonymous,EN,I consent to participate in this survey.,Disagree,Agree,No,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Senior/5th year+,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,Chicanx/Latinx,In state student,Independent
2021-10-12 11:02:25,2021-10-12 11:04:01,IP Address,100,96,True,2021-10-12 11:04:02,R_1QmVAR2ZRBhcJOE,anonymous,EN,I consent to participate in this survey.,Agree,Neither agree or disagree,No,Disagree,Neither agree or disagree,Disagree,Strongly agree,Neither agree or disagree,Disagree,Junior,"L&S Undergraduate Studies Division (e.g., American Studies, Applied Languages, Creative Writing, Data Science, Disability Studies, Interdisciplinary Studies, Media Studies)",Male,White,International student,Undecided
2021-10-12 11:01:31,2021-10-12 11:04:07,IP Address,100,156,True,2021-10-12 11:04:08,R_1rv0WlfyxKf3YlD,anonymous,EN,I consent to participate in this survey.,Neither agree or disagree,Agree,No,Neither agree or disagree,Strongly disagree,Disagree,Agree,Neither agree or disagree,Neither agree or disagree,Senior/5th year+,College of Engineering,Male,White,In state student,Prefer not to state
2021-10-12 11:03:09,2021-10-12 11:04:17,IP Address,100,68,True,2021-10-12 11:04:17,R_3J3o6n1FcDCsBFK,anonymous,EN,I consent to participate in this survey.,Agree,Agree,No,Agree,Neither agree or disagree,Strongly agree,Strongly agree,Neither agree or disagree,Strongly agree,Junior,"L&S Administered Programs (e.g., Social welfare, Public Health, Legal Studies, Computer Science)",Male,Asian,In state student,Green Party
2021-10-12 11:02:41,2021-10-12 11:04:20,IP Address,100,98,True,2021-10-12 11:04:20,R_2AKaOHLWmwDv27u,anonymous,EN,I consent to participate in this survey.,Agree,Agree,No,Disagree,Strongly disagree,Disagree,Agree,Neither agree or disagree,Disagree,Junior,"L&S Administered Programs (e.g., Social welfare, Public Health, Legal Studies, Computer Science)",Male,Asian,International student,Undecided
2021-10-12 11:07:08,2021-10-12 11:08:14,IP Address,100,66,True,2021-10-12 11:08:14,R_W1CTC7GKM9x2G7T,anonymous,EN,I consent to participate in this survey.,Agree,Neither agree or disagree,No,Neither agree or disagree,Agree,Disagree,Agree,Agree,Disagree,Junior,College of Engineering,Male,Asian,International student,Prefer not to state
2021-10-12 10:55:30,2021-10-12 11:08:15,IP Address,100,764,True,2021-10-12 11:08:15,R_2bQvyjNPg2SvwDc,anonymous,EN,I consent to participate in this survey.,Strongly agree,Disagree,No,Agree,Neither agree or disagree,Disagree,Neither agree or disagree,Strongly agree,Disagree,Junior,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,Asian,Out of state student,Democratic Party
2021-10-12 11:07:54,2021-10-12 11:09:57,IP Address,100,123,True,2021-10-12 11:09:57,R_6kWJbVH38sBqC1r,anonymous,EN,I consent to participate in this survey.,Strongly agree,Agree,No,Strongly agree,Neither agree or disagree,Disagree,Agree,Disagree,Agree,Senior/5th year+,College of Engineering,Male,White,International student,Undecided
2021-10-12 11:09:06,2021-10-12 11:10:47,IP Address,100,100,True,2021-10-12 11:10:47,R_1LevQaKuqoBkFi3,anonymous,EN,I consent to participate in this survey.,Agree,Neither agree or disagree,Yes,Strongly agree,Agree,Agree,Agree,Agree,Agree,Senior/5th year+,College of Engineering,Female,White,International student,Undecided
2021-10-12 11:09:52,2021-10-12 11:11:57,IP Address,100,125,True,2021-10-12 11:11:57,R_pxZTg7jAbr1177X,anonymous,EN,I consent to participate in this survey.,Neither agree or disagree,Neither agree or disagree,No,Strongly agree,Agree,Agree,Agree,Neither agree or disagree,Agree,Senior/5th year+,College of Engineering,Male,White,International student,Undecided
2021-10-12 11:08:22,2021-10-12 11:12:23,IP Address,100,241,True,2021-10-12 11:12:24,R_ALkIFH8bkZqLGrT,anonymous,EN,I consent to participate in this survey.,Agree,Agree,No,Neither agree or disagree,Neither agree or disagree,Disagree,Strongly agree,Agree,Neither agree or disagree,Sophomore,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,Chicanx/Latinx,In state student,Democratic Party
2021-10-12 11:10:39,2021-10-12 11:12:44,IP Address,100,124,True,2021-10-12 11:12:44,R_3MSx434xwcQysRE,anonymous,EN,I consent to participate in this survey.,Agree,Disagree,Yes,Agree,Neither agree or disagree,Strongly agree,Strongly agree,Agree,Agree,Junior,Haas School of Business,Female,Asian,International student,Democratic Party
2021-10-12 11:19:19,2021-10-12 11:20:37,IP Address,100,78,True,2021-10-12 11:20:38,R_Z4dksJJlYMSRD2x,anonymous,EN,I consent to participate in this survey.,Disagree,Disagree,No,Agree,Neither agree or disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Senior/5th year+,College of Engineering,Male,African-American/Black,International student,Undecided
2021-10-12 11:04:04,2021-10-12 11:20:54,IP Address,100,1010,True,2021-10-12 11:20:55,R_3DhJMbjJUlUypFd,anonymous,EN,I consent to participate in this survey.,Agree,Agree,No,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Senior/5th year+,College of Engineering,Male,White,International student,Democratic Party
2021-10-12 11:30:13,2021-10-12 11:32:07,IP Address,100,114,True,2021-10-12 11:32:08,R_XmG1AfBrkM7wAwN,anonymous,EN,I consent to participate in this survey.,Neither agree or disagree,Agree,No,Neither agree or disagree,Strongly disagree,Disagree,Agree,Agree,Strongly disagree,Senior/5th year+,Haas School of Business,Female,African-American/Black,International student,Democratic Party
2021-10-12 11:33:07,2021-10-12 11:35:27,IP Address,100,140,True,2021-10-12 11:35:28,R_2zJgmB1UaNYUkjq,anonymous,EN,I consent to participate in this survey.,Neither agree or disagree,Agree,No,Agree,Agree,Disagree,Strongly agree,Neither agree or disagree,Neither agree or disagree,Senior/5th year+,College of Engineering,Male,White,International student,Undecided
2021-10-12 11:47:05,2021-10-12 11:48:43,IP Address,100,98,True,2021-10-12 11:48:43,R_7WEcEmi8onQVVsJ,anonymous,EN,I consent to participate in this survey.,Neither agree or disagree,Strongly agree,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Senior/5th year+,Haas School of Business,Male,White,International student,Undecided
2021-10-12 12:01:09,2021-10-12 12:03:08,IP Address,100,118,True,2021-10-12 12:03:08,R_1BWa9Uif1KfppbK,anonymous,EN,I consent to participate in this survey.,Agree,Agree,No,Agree,Neither agree or disagree,Agree,Agree,Agree,Disagree,Senior/5th year+,"L&S Math & Phys Sciences Division (e.g., Astronomy, Earth and Planetary Sciences, Mathematics, Physics, Statistics)",Male,White,Out of state student,Democratic Party
2021-10-12 12:07:16,2021-10-12 12:08:38,IP Address,100,82,True,2021-10-12 12:08:38,R_1g0mg6Lw2bUt8s6,anonymous,EN,I consent to participate in this survey.,Neither agree or disagree,Neither agree or disagree,No,Agree,Agree,Disagree,Agree,Agree,Neither agree or disagree,Junior,"L&S Administered Programs (e.g., Social welfare, Public Health, Legal Studies, Computer Science)",Female,Asian,In state student,Undecided
2021-10-12 12:16:38,2021-10-12 12:18:02,IP Address,100,84,True,2021-10-12 12:18:03,R_3s0QeUS0VBtvz3P,anonymous,EN,I consent to participate in this survey.,Disagree,Agree,No,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Senior/5th year+,College of Engineering,Male,White,International student,Republican Party
2021-10-12 12:41:31,2021-10-12 12:42:38,IP Address,100,66,True,2021-10-12 12:42:38,R_2sdSTRWEgf8y7T3,anonymous,EN,I consent to participate in this survey.,Agree,Strongly agree,No,Agree,Agree,Agree,Agree,Neither agree or disagree,Neither agree or disagree,Senior/5th year+,College of Engineering,Female,White,International student,Democratic Party
2021-10-12 12:43:53,2021-10-12 12:48:55,IP Address,100,301,True,2021-10-12 12:48:55,R_RUkhJ3IYyf2aseJ,anonymous,EN,I consent to participate in this survey.,Strongly agree,Agree,No,Agree,Agree,Neither agree or disagree,Strongly agree,Agree,Disagree,Junior,"L&S Undergraduate Studies Division (e.g., American Studies, Applied Languages, Creative Writing, Data Science, Disability Studies, Interdisciplinary Studies, Media Studies)",Female,Decline to State,In state student,Undecided
2021-10-12 10:54:09,2021-10-12 13:03:44,IP Address,100,7775,True,2021-10-12 13:03:44,R_3spLEVD9YbwrU2Y,anonymous,EN,I consent to participate in this survey.,Strongly agree,Neither agree or disagree,No,Agree,Disagree,Neither agree or disagree,Strongly agree,Agree,Agree,Senior/5th year+,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,Chicanx/Latinx,In state student,Independent
2021-10-12 13:29:50,2021-10-12 13:31:05,IP Address,100,75,True,2021-10-12 13:31:06,R_3j9zdq4jzuoStve,anonymous,EN,I consent to participate in this survey.,Agree,Agree,No,Agree,Agree,Neither agree or disagree,Agree,Strongly agree,Strongly agree,Junior,"L&S Administered Programs (e.g., Social welfare, Public Health, Legal Studies, Computer Science)",Female,Chicanx/Latinx,In state student,Democratic Party
2021-10-12 13:51:26,2021-10-12 13:52:23,IP Address,100,56,True,2021-10-12 13:52:23,R_pcrkJqKfnARupAR,anonymous,EN,I consent to participate in this survey.,Strongly agree,Agree,No,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Agree,Disagree,Junior,College of Natural Resources,Male,Asian,Out of state student,Democratic Party
2021-10-12 13:59:53,2021-10-12 14:01:24,IP Address,100,90,True,2021-10-12 14:01:24,R_0D57dCu4JYgcZgZ,anonymous,EN,I consent to participate in this survey.,Neither agree or disagree,Agree,No,Agree,Neither agree or disagree,Agree,Strongly agree,Strongly agree,Disagree,Senior/5th year+,College of Natural Resources,Female,White,In state student,Undecided
2021-10-12 14:00:35,2021-10-12 14:02:22,IP Address,100,107,True,2021-10-12 14:02:23,R_20O3RRN7gAkdCEI,anonymous,EN,I consent to participate in this survey.,Neither agree or disagree,Agree,No,Agree,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Senior/5th year+,"L&S Arts & Humanities Division (e.g., Art Practice, Rhetoric, French, Music)",Female,White,In state student,Democratic Party
2021-10-12 14:01:37,2021-10-12 14:02:53,IP Address,100,75,True,2021-10-12 14:02:53,R_3nVD3VC1cbpxUby,anonymous,EN,I consent to participate in this survey.,Agree,Strongly agree,Yes,Neither agree or disagree,Strongly disagree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Senior/5th year+,College of Natural Resources,Female,Chicanx/Latinx,In state student,Independent
2021-10-12 14:01:57,2021-10-12 14:02:55,IP Address,100,58,True,2021-10-12 14:02:55,R_1M3VbjrpVLvKNxG,anonymous,EN,I consent to participate in this survey.,Agree,Neither agree or disagree,Yes,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Senior/5th year+,College of Environmental Design,Female,White,Out of state student,Democratic Party
2021-10-12 14:01:46,2021-10-12 14:03:03,IP Address,100,76,True,2021-10-12 14:03:03,R_2EhmuqaU0b39IKh,anonymous,EN,,Agree,Neither agree or disagree,No,Agree,Strongly disagree,Disagree,Agree,Strongly agree,Disagree,Senior/5th year+,College of Natural Resources,Female,White,In state student,Prefer not to state
2021-10-12 14:01:43,2021-10-12 14:03:04,IP Address,100,81,True,2021-10-12 14:03:05,R_1E4LOV8vXo46VYc,anonymous,EN,I consent to participate in this survey.,Strongly agree,Neither agree or disagree,Yes,Strongly agree,Agree,Strongly agree,Neither agree or disagree,Agree,Strongly agree,Junior,College of Natural Resources,Female,Asian,International student,Democratic Party
2021-10-12 14:01:47,2021-10-12 14:03:05,IP Address,100,78,True,2021-10-12 14:03:05,R_3OdbfLtWqTh4JP8,anonymous,EN,I consent to participate in this survey.,Neither agree or disagree,Strongly disagree,No,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Senior/5th year+,"L&S Undergraduate Studies Division (e.g., American Studies, Applied Languages, Creative Writing, Data Science, Disability Studies, Interdisciplinary Studies, Media Studies)",Female,White,International student,Green Party
2021-10-12 14:01:43,2021-10-12 14:03:06,IP Address,100,83,True,2021-10-12 14:03:07,R_3Msq91ZT0p8W3Qk,anonymous,EN,I consent to participate in this survey.,Strongly agree,Neither agree or disagree,No,Agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Senior/5th year+,College of Natural Resources,Female,Chicanx/Latinx,In state student,Undecided
2021-10-12 14:01:56,2021-10-12 14:03:09,IP Address,100,73,True,2021-10-12 14:03:10,R_2y8D8gQvx4QDM5u,anonymous,EN,I consent to participate in this survey.,Agree,Disagree,Yes,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Sophomore,College of Natural Resources,Female,White,In state student,Democratic Party
2021-10-12 14:01:43,2021-10-12 14:03:11,IP Address,100,88,True,2021-10-12 14:03:11,R_2f8qufmVAnR8ott,anonymous,EN,I consent to participate in this survey.,Strongly agree,Agree,No,Disagree,Disagree,Strongly agree,Agree,Agree,Neither agree or disagree,Senior/5th year+,College of Natural Resources,Female,Asian,In state student,Democratic Party
2021-10-12 14:01:54,2021-10-12 14:03:13,IP Address,100,79,True,2021-10-12 14:03:14,R_1gq1rYi63daI0W1,anonymous,EN,I consent to participate in this survey.,Agree,Disagree,No,Agree,Neither agree or disagree,Neither agree or disagree,Strongly agree,Agree,Agree,Senior/5th year+,College of Environmental Design,Female,Asian,In state student,Democratic Party
2021-10-12 14:02:10,2021-10-12 14:03:15,IP Address,100,65,True,2021-10-12 14:03:16,R_1eXiUoeeOzmJhun,anonymous,EN,I consent to participate in this survey.,Strongly agree,Agree,No,Neither agree or disagree,Strongly agree,Neither agree or disagree,Strongly agree,Strongly agree,Strongly agree,Junior,College of Natural Resources,Female,White,Out of state student,Democratic Party
2021-10-12 14:01:28,2021-10-12 14:03:20,IP Address,100,112,True,2021-10-12 14:03:21,R_7aFCYA8UrJfRUhb,anonymous,EN,I consent to participate in this survey.,Strongly agree,Agree,Yes,Agree,Disagree,Agree,Strongly agree,Neither agree or disagree,Strongly agree,Senior/5th year+,College of Natural Resources,Female,Chicanx/Latinx,In state student,Libertarian Party
2021-10-12 14:01:56,2021-10-12 14:03:25,IP Address,100,88,True,2021-10-12 14:03:25,R_9B2txpXBRb3quGd,anonymous,EN,I consent to participate in this survey.,Agree,Strongly agree,No,Agree,Agree,Neither agree or disagree,Strongly agree,Agree,Agree,Junior,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,White,International student,Prefer not to state
2021-10-12 14:01:30,2021-10-12 14:03:31,IP Address,100,120,True,2021-10-12 14:03:31,R_2SfpLIrZ7ZmeMLK,anonymous,EN,I consent to participate in this survey.,Disagree,Strongly disagree,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Junior,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,White,International student,Green Party
2021-10-12 14:02:01,2021-10-12 14:03:39,IP Address,100,97,True,2021-10-12 14:03:39,R_1NFDy4bm70fIkiC,anonymous,EN,I consent to participate in this survey.,Agree,Agree,Yes,Agree,Strongly agree,Agree,Neither agree or disagree,Agree,Strongly agree,Junior,College of Natural Resources,Male,Chicanx/Latinx,In state student,Democratic Party
2021-10-12 14:02:02,2021-10-12 14:03:43,IP Address,100,101,True,2021-10-12 14:03:44,R_2QAqWlNhm9u8VJ2,anonymous,EN,I consent to participate in this survey.,Agree,Agree,Yes,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Senior/5th year+,College of Environmental Design,Female,White,Out of state student,Democratic Party
2021-10-12 14:01:54,2021-10-12 14:03:47,IP Address,100,112,True,2021-10-12 14:03:47,R_3Ejclg1s71R5FTi,anonymous,EN,I consent to participate in this survey.,Neither agree or disagree,Agree,Yes,Agree,Neither agree or disagree,Agree,Agree,Neither agree or disagree,Strongly agree,Junior,L&S Undeclared/Undecided on Major,Female,White,Out of state student,Independent
2021-10-12 14:02:03,2021-10-12 14:03:57,IP Address,100,114,True,2021-10-12 14:03:57,R_3qfIC3UDgoH8KB0,anonymous,EN,I consent to participate in this survey.,Agree,Agree,Yes,Agree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Agree,Neither agree or disagree,Junior,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Male,White,In state student,Democratic Party
2021-10-12 14:02:01,2021-10-12 14:03:59,IP Address,100,118,True,2021-10-12 14:04:00,R_ve5fpSZR5qfnQEV,anonymous,EN,I consent to participate in this survey.,Agree,Neither agree or disagree,Yes,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Senior/5th year+,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,White,International student,Undecided
2021-10-12 14:02:23,2021-10-12 14:04:01,IP Address,100,98,True,2021-10-12 14:04:02,R_1hF1bFrVI4urZXD,anonymous,EN,I consent to participate in this survey.,Agree,Neither agree or disagree,No,Agree,Neither agree or disagree,Disagree,Agree,Disagree,Neither agree or disagree,Sophomore,L&S Undeclared/Undecided on Major,Female,Asian,International student,Undecided
2021-10-12 14:02:28,2021-10-12 14:04:18,IP Address,100,110,True,2021-10-12 14:04:19,R_27lohEIg7N6BdyR,anonymous,EN,I consent to participate in this survey.,Agree,Agree,No,Neither agree or disagree,Neither agree or disagree,Agree,Strongly agree,Neither agree or disagree,Agree,Junior,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,White,International student,Democratic Party
2021-10-12 14:02:34,2021-10-12 14:04:23,IP Address,100,109,True,2021-10-12 14:04:24,R_1ib9vixQaUHtfVP,anonymous,EN,I consent to participate in this survey.,Agree,Agree,Yes,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Neither agree or disagree,Disagree,Junior,College of Environmental Design,Male,Asian,International student,Prefer not to state
2021-10-12 14:02:30,2021-10-12 14:04:51,IP Address,100,140,True,2021-10-12 14:04:52,R_1pAPecyrUApiudG,anonymous,EN,I consent to participate in this survey.,Agree,Agree,No,Neither agree or disagree,Disagree,Disagree,Agree,Strongly agree,Neither agree or disagree,Senior/5th year+,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Female,African-American/Black,In state student,Democratic Party
2021-10-12 14:02:51,2021-10-12 14:04:51,IP Address,100,120,True,2021-10-12 14:04:52,R_1DzKVvkLxpqvTtp,anonymous,EN,I consent to participate in this survey.,Strongly agree,Agree,Yes,Agree,Neither agree or disagree,Agree,Agree,Agree,Strongly agree,Senior/5th year+,College of Environmental Design,Female,African-American/Black,International student,Undecided
