StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16
2020-10-15 17:57:54,2020-10-15 18:02:02,IP Address,100,248,True,2020-10-15 18:02:03,R_2SlDVzWMnc6nX48,anonymous,EN,I consent to participate in this survey.,No change,"No, significantly less",1-3,Not changed,Decreased,Decreased,Increased,"Yes, I use them slightly more",International student,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In California with peers or alone
2020-10-15 18:07:37,2020-10-15 18:10:22,IP Address,100,164,True,2020-10-15 18:10:22,R_vCbUb9aOmAyjUoV,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, slightly more",1-3,Decreased,Decreased,Not changed,Not changed,No change,White,Female,"L&S Math & Phys Sciences Division (e.g., Astronomy, Earth and Planetary Sciences, Mathematics, Physics, Statistics)",Junior,No,In California with family
2020-10-15 18:14:55,2020-10-15 18:16:55,IP Address,100,119,True,2020-10-15 18:16:55,R_2scMxUmDPtGqtIm,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, slightly more",0,Decreased,Decreased,Decreased,Not changed,"Yes, I use them slightly more",White,Female,"L&S Math & Phys Sciences Division (e.g., Astronomy, Earth and Planetary Sciences, Mathematics, Physics, Statistics)",Junior,No,In California with peers or alone
2020-10-15 18:15:58,2020-10-15 18:17:42,IP Address,100,103,True,2020-10-15 18:17:42,R_3n76DV2fL9t7Tvp,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, slightly more",1-3,Increased,Decreased,Decreased,Increased,No change,White,Female,"L&S Biological Sciences (e.g., Integrative Biology, Molecular & Cell Biology, Physical Education)",Junior,No,In California with peers or alone
2020-10-15 18:17:42,2020-10-15 18:19:45,IP Address,100,123,True,2020-10-15 18:19:45,R_5urzlGSDbduAF5T,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, slightly less",1-3,Increased,Decreased,Decreased,Increased,"No, I use them significantly less",White,Female,College of Environmental Design,Junior,No,In California with peers or alone
2020-10-15 18:20:54,2020-10-15 18:22:10,IP Address,100,76,True,2020-10-15 18:22:11,R_z0WRX8cIvAWzMNb,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, slightly more",1-3,Decreased,Decreased,Decreased,Decreased,No change,Asian American,Female,College of Natural Resources,Sophomore,No,In California with peers or alone
2020-10-15 18:27:23,2020-10-15 18:28:19,IP Address,100,56,True,2020-10-15 18:28:19,R_2BxtEVNrCDz9wPj,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, slightly more",0,Decreased,Decreased,Increased,Increased,"Yes, I use them slightly more",Asian American,Female,College of Natural Resources,Freshman,No,In Berkeley/Campus Housing
2020-10-15 18:52:32,2020-10-15 18:53:47,IP Address,100,74,True,2020-10-15 18:53:48,R_1jOPvkO2zEjVObx,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, slightly more",0,Decreased,Decreased,Decreased,Not changed,"Yes, I use them slightly more",White,Female,L&S Undeclared/Undecided on Major,Sophomore,No,In California with peers or alone
2020-10-15 18:54:51,2020-10-15 18:55:50,IP Address,100,58,True,2020-10-15 18:55:50,R_2CIEDWCSykY2Mmo,anonymous,EN,I consent to participate in this survey.,No change,"No, significantly less",0,Decreased,Decreased,Not changed,Increased,No change,Asian American,Female,"L&S Biological Sciences (e.g., Integrative Biology, Molecular & Cell Biology, Physical Education)",Freshman,No,In California with family
2020-10-15 18:57:21,2020-10-15 18:59:01,IP Address,100,100,True,2020-10-15 18:59:01,R_1NC8Gao6UVhPOAt,anonymous,EN,I consent to participate in this survey.,"No, significantly less","Yes, slightly more",1-3,Decreased,Decreased,Decreased,Increased,No change,White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In California with peers or alone
2020-10-15 19:01:05,2020-10-15 19:04:25,IP Address,100,199,True,2020-10-15 19:04:25,R_3fMKnXIHLMDO0y4,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, slightly more",1-3,Increased,Decreased,Decreased,Increased,No change,White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In California with peers or alone
2020-10-15 19:03:08,2020-10-15 19:04:29,IP Address,100,80,True,2020-10-15 19:04:29,R_3U9NuDkqlT38Su5,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","No, significantly less",0,Decreased,Not changed,Not changed,Decreased,"No, I use them significantly less",Chicanx/Latinx,Male,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,Yes,In California with family
2020-10-15 19:03:33,2020-10-15 19:07:31,IP Address,100,237,True,2020-10-15 19:07:31,R_3sgZttvKyyTGXrn,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more",No change,1-3,Not changed,Not changed,Decreased,Decreased,No change,Chicanx/Latinx,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In California with peers or alone
2020-10-15 19:06:07,2020-10-15 19:10:10,IP Address,100,242,True,2020-10-15 19:10:10,R_3p3DHVhJT1N6WSi,anonymous,EN,I consent to participate in this survey.,No change,"Yes, significantly more",0,Not changed,Decreased,Not changed,Decreased,No change,Chicanx/Latinx,Male,"L&S Arts & Humanities Division (e.g., Art Practice, Rhetoric, French, Music)",Senior,Yes,In California with peers or alone
2020-10-15 19:11:43,2020-10-15 19:12:48,IP Address,100,65,True,2020-10-15 19:12:48,R_3g4SeKKncLfIXoy,anonymous,EN,I consent to participate in this survey.,No change,"Yes, significantly more",4-6,Not changed,Decreased,Decreased,Increased,No change,Asian American,Male,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In California with peers or alone
2020-10-15 19:16:18,2020-10-15 19:18:07,IP Address,100,109,True,2020-10-15 19:18:08,R_1f1U8nY0hHnbuoN,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more",No change,0,Increased,Decreased,Decreased,Decreased,No change,Asian American,Female,"L&S Math & Phys Sciences Division (e.g., Astronomy, Earth and Planetary Sciences, Mathematics, Physics, Statistics)",Junior,No,In California with peers or alone
2020-10-15 19:19:42,2020-10-15 19:21:25,IP Address,100,102,True,2020-10-15 19:21:26,R_1dp4nhdwl4TgoP7,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",1-3,Not changed,Decreased,Decreased,Increased,No change,Asian American,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Sophomore,No,In California with family
2020-10-15 19:22:13,2020-10-15 19:23:14,IP Address,100,60,True,2020-10-15 19:23:14,R_2X0ThMniKRkchOf,anonymous,EN,I consent to participate in this survey.,No change,"No, significantly less",1-3,Decreased,Decreased,Not changed,Not changed,No change,Asian American,Female,College of Natural Resources,Freshman,No,In California with family
2020-10-15 19:43:56,2020-10-15 19:44:40,IP Address,100,44,True,2020-10-15 19:44:40,R_3jV9rBtLXa4kgdN,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",4-6,Increased,Decreased,Decreased,Decreased,"No, I use them slightly less",Asian American,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In California with family
2020-10-15 19:59:48,2020-10-15 20:00:41,IP Address,100,53,True,2020-10-15 20:00:41,R_21srFjJIh9QSgmZ,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",0,Increased,Decreased,Decreased,Increased,No change,Asian American,Female,L&S Undeclared/Undecided on Major,Junior,No,In Berkeley/Campus Housing
2020-10-15 20:12:33,2020-10-15 20:14:55,IP Address,100,141,True,2020-10-15 20:14:55,R_1gIQ2ik7NlW2vSF,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",0,Not changed,Not changed,Decreased,Increased,No change,White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In Berkeley/Greek Life Housing
2020-10-15 20:26:30,2020-10-15 20:27:53,IP Address,100,82,True,2020-10-15 20:27:53,R_8wE5CRA90tGOYeJ,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, slightly less",1-3,Increased,Decreased,Decreased,Not changed,No change,Asian American,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,Outside California with family
2020-10-15 20:30:43,2020-10-15 20:32:03,IP Address,100,80,True,2020-10-15 20:32:03,R_1eKMJJJohdvW4Xc,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, slightly less",0,Not changed,Decreased,Decreased,Increased,"Yes, I use them slightly more",Chicanx/Latinx,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Sophomore,No,In California with family
2020-10-15 20:33:52,2020-10-15 20:34:49,IP Address,100,56,True,2020-10-15 20:34:49,R_2qjRNOQ2ouWiZ3N,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, slightly more",1-3,Not changed,Not changed,Not changed,Decreased,No change,White,Female,College of Engineering,Junior,No,In Berkeley/Greek Life Housing
2020-10-15 20:36:16,2020-10-15 20:37:04,IP Address,100,48,True,2020-10-15 20:37:05,R_3meFvUv1A4DeVzQ,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","No, significantly less",1-3,Increased,Decreased,Decreased,Increased,No change,Asian American,Female,"L&S Administered Programs (e.g., Social welfare, Public Health, Legal Studies, Computer Science)",Sophomore,No,In California with family
2020-10-15 20:36:23,2020-10-15 20:37:44,IP Address,100,80,True,2020-10-15 20:37:44,R_2zeTUe0fIeaA62x,anonymous,EN,I consent to participate in this survey.,No change,"No, significantly less",0,Not changed,Decreased,Decreased,Increased,"No, I use them significantly less",Decline to State,Female,College of Natural Resources,Junior,No,In California with peers or alone
2020-10-15 20:36:35,2020-10-15 20:38:02,IP Address,100,87,True,2020-10-15 20:38:03,R_2rMkXN2mfz0q4fu,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",0,Decreased,Decreased,Decreased,Increased,"No, I use them slightly less",Chicanx/Latinx,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Sophomore,No,In Berkeley/Greek Life Housing
2020-10-15 20:37:41,2020-10-15 20:38:40,IP Address,100,59,True,2020-10-15 20:38:41,R_pRXEhN5Fc3PlLBn,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more",No change,0,Increased,Not changed,Decreased,Increased,No change,Asian American,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In Berkeley/Greek Life Housing
2020-10-15 20:38:49,2020-10-15 20:40:39,IP Address,100,109,True,2020-10-15 20:40:40,R_26kWrA7munTVJa9,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, slightly more",1-3,Increased,Decreased,Decreased,Increased,No change,Decline to State,Male,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,Yes,In Berkeley/Campus Housing
2020-10-15 20:39:53,2020-10-15 20:42:48,IP Address,100,174,True,2020-10-15 20:42:48,R_24ADlalcFGdD51b,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","No, significantly less",0,Decreased,Decreased,Decreased,Increased,"No, I use them slightly less",Asian American,Female,"L&S Administered Programs (e.g., Social welfare, Public Health, Legal Studies, Computer Science)",Sophomore,No,Outside California with family
2020-10-15 20:37:06,2020-10-15 20:44:14,IP Address,100,427,True,2020-10-15 20:44:14,R_2ZE3D4ntY8LMK1E,anonymous,EN,I consent to participate in this survey.,"No, slightly less","No, significantly less",1-3,Not changed,Not changed,Decreased,Decreased,No change,Decline to State,Female,L&S Undeclared/Undecided on Major,Sophomore,No,Outside California with family
2020-10-15 20:43:29,2020-10-15 20:45:57,IP Address,100,147,True,2020-10-15 20:45:57,R_aXjeSXdfUiAqAWB,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more",No change,0,Not changed,Not changed,Not changed,Increased,No change,Chicanx/Latinx,Female,L&S Undeclared/Undecided on Major,Freshman,No,In Berkeley/Co-ops
2020-10-15 20:45:01,2020-10-15 20:46:01,IP Address,100,60,True,2020-10-15 20:46:01,R_2tDnMZ8BI4Wy9kv,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, significantly more",1-3,Decreased,Decreased,Decreased,Decreased,No change,White,Female,Haas School of Business,Sophomore,No,In Berkeley/Campus Housing
2020-10-15 20:51:36,2020-10-15 20:52:44,IP Address,100,68,True,2020-10-15 20:52:45,R_2dT6yF8JQoAMRpl,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, slightly more",0,Not changed,Decreased,Decreased,Increased,"No, I use them significantly less",White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Freshman,No,In California with family
2020-10-15 21:00:11,2020-10-15 21:03:06,IP Address,100,175,True,2020-10-15 21:03:06,R_0xKkhrS09kKfyfv,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more",No change,1-3,Increased,Decreased,Decreased,Not changed,"No, I use them significantly less",White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In Berkeley/Co-ops
2020-10-15 21:09:03,2020-10-15 21:10:33,IP Address,100,89,True,2020-10-15 21:10:33,R_3gRAnCuRqE4lgG1,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","No, significantly less",1-3,Not changed,Decreased,Decreased,Decreased,"No, I use them significantly less",Asian American,Female,"L&S Biological Sciences (e.g., Integrative Biology, Molecular & Cell Biology, Physical Education)",Junior,No,In California with peers or alone
2020-10-15 21:16:04,2020-10-15 21:17:10,IP Address,100,65,True,2020-10-15 21:17:10,R_2ASvM9AqcrLFRbL,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","No, slightly less",0,Increased,Decreased,Decreased,Increased,"Yes, I use them slightly more",White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Junior,No,In California with peers or alone
2020-10-15 21:16:47,2020-10-15 21:17:54,IP Address,100,67,True,2020-10-15 21:17:54,R_UVzcPZ4oY1fGL4Z,anonymous,EN,I consent to participate in this survey.,No change,No change,1-3,Increased,Decreased,Decreased,Increased,No change,White,Female,"L&S Arts & Humanities Division (e.g., Art Practice, Rhetoric, French, Music)",Senior,No,In Berkeley/Co-ops
2020-10-15 21:19:40,2020-10-15 21:21:14,IP Address,100,94,True,2020-10-15 21:21:14,R_2cwvwAfFGRavaL8,anonymous,EN,I consent to participate in this survey.,No change,No change,0,Not changed,Decreased,Not changed,Increased,"Yes, I use them slightly more",White,Female,"L&S Undergraduate Studies Division (e.g., American Studies, Applied Languages, Creative Writing, Data Science, Disability Studies, Interdisciplinary Studies, Media Studies)",Senior,Yes,In Berkeley/Co-ops
2020-10-15 21:19:23,2020-10-15 21:21:23,IP Address,100,120,True,2020-10-15 21:21:23,R_paV6X6Q8jcuA5GN,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","No, slightly less",1-3,Decreased,Decreased,Decreased,Decreased,"No, I use them significantly less",White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,Yes,In Berkeley/Co-ops
2020-10-15 21:33:54,2020-10-15 21:36:13,IP Address,100,138,True,2020-10-15 21:36:13,R_3m8kdrOLRLa92h2,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","No, significantly less",1-3,Not changed,Decreased,Decreased,Not changed,No change,White,Decline to state,"L&S Arts & Humanities Division (e.g., Art Practice, Rhetoric, French, Music)",Senior,No,In Berkeley/Co-ops
2020-10-15 21:35:49,2020-10-15 21:36:43,IP Address,100,53,True,2020-10-15 21:36:43,R_2X1JZ6jF0OqJ30T,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more","Yes, slightly more",4-6,Increased,Decreased,Decreased,Increased,"Yes, I use them slightly more",Asian American,Female,L&S Undeclared/Undecided on Major,Sophomore,No,In Berkeley/Co-ops
2020-10-15 21:41:30,2020-10-15 21:43:14,IP Address,100,103,True,2020-10-15 21:43:14,R_pfvatN5HqOeg50Z,anonymous,EN,I consent to participate in this survey.,No change,"Yes, significantly more",1-3,Not changed,Decreased,Not changed,Not changed,"Yes, I use them significantly more",White,Female,"L&S Arts & Humanities Division (e.g., Art Practice, Rhetoric, French, Music)",Junior,No,In Berkeley/Co-ops
2020-10-15 21:42:15,2020-10-15 21:43:18,IP Address,100,62,True,2020-10-15 21:43:18,R_A0uX93WR77dz5u1,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more",No change,4-6,Decreased,Decreased,Not changed,Increased,No change,Asian American,Male,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In Berkeley/Co-ops
2020-10-15 21:46:10,2020-10-15 21:48:20,IP Address,100,129,True,2020-10-15 21:48:21,R_3EXtVKLvUPgEbw8,anonymous,EN,I consent to participate in this survey.,"Yes, significantly more",No change,1-3,Not changed,Decreased,Increased,Decreased,No change,White,Female,"L&S Arts & Humanities Division (e.g., Art Practice, Rhetoric, French, Music)",Senior,Yes,In Berkeley/Co-ops
2020-10-15 21:49:15,2020-10-15 21:50:39,IP Address,100,83,True,2020-10-15 21:50:40,R_2OMGGtHsM5ti7C5,anonymous,EN,I consent to participate in this survey.,"Yes, slightly more","Yes, significantly more",1-3,Decreased,Decreased,Decreased,Increased,No change,Chicanx/Latinx,Female,L&S Undeclared/Undecided on Major,Sophomore,No,In Berkeley/Co-ops
2020-10-15 21:49:33,2020-10-15 21:51:39,IP Address,100,125,True,2020-10-15 21:51:39,R_1H8BDOyFVBdMtKm,anonymous,EN,I consent to participate in this survey.,No change,"No, slightly less",4-6,Not changed,Decreased,Not changed,Increased,"No, I use them slightly less",White,Decline to state,"L&S Arts & Humanities Division (e.g., Art Practice, Rhetoric, French, Music)",Sophomore,No,In Berkeley/Co-ops
2020-10-15 21:53:48,2020-10-15 21:55:28,IP Address,100,100,True,2020-10-15 21:55:29,R_3D2uvwf6T6YGPFl,anonymous,EN,I consent to participate in this survey.,No change,"Yes, significantly more",0,Decreased,Decreased,Decreased,Increased,"No, I use them significantly less",White,Female,"L&S Social Sciences Division (e.g., African-American Studies, Anthropology, Cognitive Science, Demography, Economics, Ethnic Studies, Global Studies, Gender & Women’s Studies, Geography, History, International Studies Programs, Linguistics, Political Science , Political Economy, Psychology)",Senior,No,In California with peers or alone
2020-10-15 21:58:07,2020-10-15 21:59:16,IP Address,100,69,True,2020-10-15 21:59:17,R_1jTjAzTRuZvtM6v,anonymous,EN,I consent to participate in this survey.,No change,No change,7 or more,Not changed,Increased,Not changed,Increased,No change,International student,Male,College of Natural Resources,Freshman,No,In Berkeley/Co-ops
